session	no_decay	s1_dp1	s1_dp2	s1_dp3	s2_dp1	s2_dp2	s2_dp3	s3_dp1	s3_dp2	s3_dp3
21	0.914600014686585	0.912800014019012	0.916700005531311	0.916999995708466	0.920400023460388	0.918799996376038	0.919799983501434	0.917699992656708	0.920499980449677	0.920899987220764
22	0.914399981498718	0.9132000207901	0.922699987888336	0.918299973011017	0.918299973011017	0.920300006866455	0.919200003147125	0.918799996376038	0.919799983501434	0.920899987220764
23	0.917999982833862	0.9132000207901	0.921400010585785	0.918200016021729	0.918200016021729	0.916899979114533	0.920899987220764	0.916999995708466	0.923500001430512	0.920099973678589
24	0.914399981498718	0.913800001144409	0.920300006866455	0.920799970626831	0.919799983501434	0.920300006866455	0.919900000095367	0.918600022792816	0.920499980449677	0.921999990940094
25	0.916299998760223	0.913800001144409	0.920899987220764	0.917999982833862	0.922500014305115	0.917100012302399	0.918500006198883	0.918799996376038	0.921599984169006	0.922100007534027
26	0.916599988937378	0.913699984550476	0.921899974346161	0.919799983501434	0.920899987220764	0.918799996376038	0.918600022792816	0.919600009918213	0.921999990940094	0.922599971294403
27	0.916599988937378	0.913500010967255	0.922100007534027	0.918600022792816	0.920000016689301	0.918500006198883	0.919399976730347	0.918699979782105	0.92059999704361	0.922399997711182
28	0.914600014686585	0.913900017738342	0.921400010585785	0.919399976730347	0.920099973678589	0.917699992656708	0.916800022125244	0.919000029563904	0.921299993991852	0.923200011253357
29	0.919099986553192	0.913699984550476	0.921899974346161	0.921199977397919	0.91949999332428	0.918299973011017	0.920899987220764	0.919399976730347	0.921599984169006	0.922699987888336
30	0.91210001707077	0.912899971008301	0.920700013637543	0.919799983501434	0.920499980449677	0.920199990272522	0.920099973678589	0.920199990272522	0.918500006198883	0.920899987220764
31	0.91619998216629	0.912899971008301	0.921899974346161	0.921899974346161	0.91949999332428	0.916299998760223	0.917699992656708	0.919000029563904	0.922699987888336	0.922999978065491
32	0.915499985218048	0.913800001144409	0.921000003814697	0.920400023460388	0.92110002040863	0.920099973678589	0.919600009918213	0.919399976730347	0.921500027179718	0.920700013637543
33	0.91509997844696	0.913399994373322	0.921500027179718	0.921999990940094	0.919900000095367	0.919700026512146	0.918500006198883	0.919099986553192	0.921000003814697	0.922699987888336
34	0.912999987602234	0.913100004196167	0.922299981117249	0.922299981117249	0.921000003814697	0.918799996376038	0.918299973011017	0.919799983501434	0.921700000762939	0.921299993991852
35	0.917100012302399	0.9132000207901	0.921800017356873	0.921299993991852	0.920499980449677	0.919399976730347	0.919399976730347	0.919399976730347	0.921800017356873	0.92110002040863
36	0.912800014019012	0.913399994373322	0.92110002040863	0.920300006866455	0.921899974346161	0.919399976730347	0.920199990272522	0.918299973011017	0.921500027179718	0.921500027179718
37	0.91839998960495	0.9132000207901	0.921999990940094	0.922800004482269	0.920000016689301	0.920899987220764	0.919799983501434	0.918500006198883	0.921599984169006	0.921999990940094
38	0.919200003147125	0.913299977779388	0.92059999704361	0.921899974346161	0.91949999332428	0.915199995040894	0.920700013637543	0.919700026512146	0.921700000762939	0.922100007534027
39	0.916899979114533	0.9132000207901	0.921800017356873	0.919900000095367	0.920499980449677	0.920099973678589	0.920899987220764	0.918799996376038	0.921700000762939	0.922800004482269
40	0.918699979782105	0.913299977779388	0.921899974346161	0.921700000762939	0.920300006866455	0.918299973011017	0.921899974346161	0.91949999332428	0.921899974346161	0.922999978065491
